sensor starting...
IR, Red
137961, 116890
137934, 116914
137937, 116904
137922, 116894
137930, 116896
137939, 116882
137828, 116840
137759, 116773
137727, 116770
137625, 116750
137621, 116758
137530, 116693
137073, 116551
136900, 116484
137157, 116575
137441, 116680
137566, 116714
137635, 116763
137645, 116779
137623, 116768
137616, 116801
137682, 116788
137703, 116788
137708, 116784
137656, 116758
137622, 116734
137604, 116734
137573, 116732
137391, 116630
136823, 116445
136609, 116388
136859, 116443
137099, 116542
137327, 116635
137472, 116693
137537, 116709
137534, 116712
137542, 116716
137641, 116732
137671, 116740
137726, 116776
137822, 116802
137822, 116814
137854, 116829
137857, 116822
137626, 116734
137198, 116565
137158, 116552
137368, 116633
137541, 116721
137585, 116722
137645, 116712
137638, 116723
137612, 116724
137652, 116711
137739, 116772
137836, 116788
137914, 116818
137972, 116837
138033, 116835
138079, 116895
138095, 116886
137908, 116829
137521, 116709
137595, 116713
137784, 116788
137966, 116849
138036, 116869
138093, 116886
138084, 116887
138099, 116889
138193, 116905
138213, 116948
138280, 116930
138370, 116978
138426, 117013
138429, 117020
138453, 117022
138396, 116996
138115, 116918
137931, 116843
138038, 116913
138200, 116939
138242, 116933
138298, 116972
138357, 116991
138286, 116967
138311, 116967
138410, 117008
138455, 117024
138524, 117044
138617, 117081
138667, 117120
138728, 117109
138725, 117124
138646, 117098
138362, 116992
138290, 116978
138384, 117009
138531, 117064
138603, 117085
138644, 117097
138659, 117109
138658, 117106
138674, 117089
138747, 117136
138766, 117163
138825, 117160
138871, 117145
138902, 117183
138924, 117195
138860, 117177
138599, 117075
138385, 117010
138399, 117036
138430, 117026
138563, 117024
138571, 117053
138551, 117028
138453, 117001
138479, 116998
sensor stoped!
